x,y
13.846873,-0.14765704
13.383073,0.56018746
15.924985,-1.4608802
13.069411,-0.57286763
14.992776,-0.18974295
16.318657,0.39488512
13.698779,0.12318957
16.439173,0.17570004
14.208319,0.923058
14.6571665,1.0928082
13.2553625,-0.5830532
15.796409,-1.5197487
15.060717,1.1196798
15.725115,-1.5951854
13.87389,1.140026
13.07579,-1.1135333
16.24147,0.4161781
15.452414,0.90668255
13.345872,0.86472684
13.330321,0.8219565
13.035745,-1.0148365
15.222049,0.87948686
14.556131,-0.19280562
13.810752,1.0069605
13.127252,-0.660716
16.455744,-0.46948686
15.004782,1.1430416
13.494538,0.52657527
13.713959,0.2985601
13.49368,0.34441963
14.082604,-0.08234322
15.514671,1.0362604
15.179515,-0.61220783
15.0280075,1.0176896
14.037024,1.0496254
15.560579,-1.7234867
13.08619,-1.0070916
13.729504,1.1168063
15.373905,1.1410173
15.221488,-0.92135376
15.301429,-1.156507
15.356193,0.3669441
16.498558,0.22964387
15.691472,-1.1269795
13.997933,-0.05029986
14.948875,-0.41591004
13.322573,-1.146645
15.611272,-1.3217146
12.966853,-0.70329005
13.153554,-1.0532734
13.19789,-1.2267592
13.583009,-1.0526412
15.822934,-1.5684836
15.602355,-0.16562624
15.77447,-1.4589272
15.245554,-1.8386626
16.091478,-0.14966157
13.4723215,1.0031285
16.538483,-0.65553635
15.348701,1.0874842
13.051721,-0.8734533
16.283249,0.11510882
16.496853,-0.05829191
15.233844,1.1877302
16.356174,0.0012353814
16.52476,-0.62528783
15.119231,-0.81941843
15.59629,-1.671361
14.188839,-0.13991679
15.422634,-0.4789323
13.569923,-1.1548371
14.432186,-0.250373
12.998514,-0.7001317
14.156508,0.9368751
16.29872,0.42250392
13.531196,1.0309306
16.252363,-1.2118359
16.426655,0.20243858
15.344794,-0.7988433
16.67087,-0.67979324
14.519501,1.0976933
13.283904,-0.56596065
13.479382,-0.09391088
13.785991,0.9658041
15.312462,-0.5671751
16.327883,-0.015140235
13.607902,1.0823886
13.447752,0.4582106
15.997288,-1.3263756
15.550521,0.8580899
13.706932,0.16425316
13.811079,0.37081793
15.425689,-1.7780187
16.575396,-0.6764251
16.507338,-0.9328504
16.655537,-0.5413081
14.172148,0.9578232
14.870305,-0.39714375
15.049897,-0.66399384
14.9502735,1.100685
2.1673968,14.619735
3.5514784,13.652661
3.0873253,16.502167
4.450292,14.660775
5.337287,14.914634
2.7731645,16.03561
2.3284914,14.277315
5.5002027,15.724127
3.8119316,13.706991
4.486092,13.938116
3.7784045,15.033393
3.798952,14.354453
3.991339,13.641794
2.2260625,14.731204
2.630925,14.330278
3.6496465,16.137922
3.7313418,14.744511
5.137733,15.430213
2.2424548,14.519242
3.4943898,13.668468
5.0247545,15.412316
5.031511,14.899752
3.825902,15.778126
3.8943722,13.690463
4.799334,16.349012
5.594184,15.40203
3.1609864,13.838523
4.7671943,16.334866
4.252194,13.725021
4.661547,14.252051
2.7195995,14.289176
2.084457,14.695344
5.3449564,15.294179
5.44386,15.548182
2.2019663,14.866543
4.2461014,14.713296
3.5236962,14.742733
3.6565185,14.905338
4.020182,15.627495
3.7003636,16.426664
4.0778313,15.016934
5.44497,15.899643
5.2431407,14.868356
3.9145772,15.039183
4.787665,15.778757
4.6999736,15.813388
3.84057,15.973763
4.0537114,16.449785
4.072313,13.610276
2.454117,15.212477
1.9761479,14.551848
5.2518725,15.227574
2.0202482,14.5452585
4.106018,16.192993
3.5188444,16.077322
3.15232,14.2449465
4.0251412,14.376167
3.5773494,13.668218
4.1649375,14.196012
2.5328562,15.56749
4.83449,15.633653
